time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448400000	20.2092	13.7747	4.82302	1.74389	0.542389	lidar	1.40925	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1557	13.9985	4.78312	1.77954	0.560734	radar	0.779779	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0972	14.2594	4.84315	1.81037	0.564085	lidar	0.385028	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0257	14.4882	4.84253	1.84089	0.563657	radar	1.3544	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9121	14.7513	4.93108	1.88708	0.58434	lidar	1.07976	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8472	14.9675	4.90765	1.90053	0.550137	radar	3.42806	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8235	15.1765	4.82442	1.90578	0.525031	lidar	2.25787	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6941	15.3798	4.73121	1.98639	0.643942	radar	7.61865	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.674	15.5539	4.58915	1.99054	0.612178	lidar	3.37967	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5874	15.7512	4.56655	2.01379	0.597005	radar	1.2806	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4786	15.9712	4.60377	2.04531	0.598854	lidar	0.0946746	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3814	16.176	4.61563	2.05746	0.556905	radar	1.84484	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2727	16.3532	4.56493	2.08728	0.559224	lidar	0.434508	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1595	16.5449	4.5511	2.11651	0.563154	radar	0.227796	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0206	16.7672	4.6265	2.14733	0.565991	lidar	0.350232	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.863	16.9591	4.6355	2.21192	0.648786	radar	6.56757	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6729	17.214	4.82347	2.25016	0.654617	lidar	2.08583	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5757	17.4164	4.79147	2.2257	0.534407	radar	6.06721	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3517	17.621	4.91375	2.27456	0.557797	lidar	3.75857	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2143	17.8147	4.90408	2.27459	0.496354	radar	2.14346	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0881	17.9969	4.85457	2.28897	0.485385	lidar	0.942767	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9128	18.149	4.81757	2.33581	0.531515	radar	2.18785	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7933	18.2805	4.68166	2.35596	0.525105	lidar	1.04393	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6646	18.4572	4.64844	2.36239	0.494525	radar	6.52247	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4605	18.6497	4.75306	2.39053	0.497772	lidar	0.587294	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2823	18.7874	4.72169	2.42783	0.522528	radar	1.81406	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1262	18.9199	4.65409	2.45213	0.520841	lidar	0.244474	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9589	19.0903	4.66902	2.46378	0.49783	radar	3.01061	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7388	19.2093	4.68787	2.50493	0.515473	lidar	2.75951	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5458	19.3649	4.72387	2.52991	0.520755	radar	3.27007	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3089	19.5365	4.84825	2.55528	0.518975	lidar	0.816569	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0873	19.6174	4.81421	2.609	0.564807	radar	10.1336	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8788	19.7635	4.85021	2.62916	0.555675	lidar	0.727164	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6942	19.886	4.78495	2.63146	0.497705	radar	3.22478	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4539	20.0468	4.8981	2.64788	0.487112	lidar	1.16212	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2344	20.1946	4.94227	2.65806	0.464668	radar	5.50923	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0545	20.3202	4.88741	2.66966	0.452773	lidar	1.91587	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8224	20.403	4.88804	2.70911	0.481654	radar	2.21138	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6089	20.5206	4.89142	2.72577	0.47363	lidar	0.587599	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3667	20.6107	4.9327	2.76335	0.504729	radar	1.2442	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1218	20.6828	4.94279	2.79624	0.512873	lidar	0.690289	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8809	20.7565	4.96445	2.83217	0.536299	radar	0.317973	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6023	20.8214	5.03606	2.86694	0.543913	lidar	1.48243	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3502	20.8543	5.06075	2.9214	0.60091	radar	2.19592	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1104	20.8892	5.03075	2.95659	0.607015	lidar	0.20291	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8781	20.949	5.00494	2.97645	0.590519	radar	1.86202	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6955	20.982	4.87333	3.0031	0.59041	lidar	2.1569	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
